
# 馬名_Lのみの学習


,rank,馬名,score
0,1.0,リスグラシュー,-0.08880347062742605
5,1.0,シュヴァルグラン,-0.08880347062742605
6,1.0,レイデオロ,-0.08880347062742605
12,1.0,スティッフェリオ,-0.08880347062742605
13,1.0,アエロリット,-0.08880347062742605
15,1.0,クロコスミア,-0.08880347062742605
1,7.0,サートゥルナーリア,0.014714166345721674
2,7.0,ワールドプレミア,0.014714166345721674
3,7.0,フィエールマン,0.014714166345721674
4,7.0,キセキ,0.014714166345721674
7,7.0,ヴェロックス,0.014714166345721674
8,7.0,アーモンドアイ,0.014714166345721674
9,7.0,エタリオウ,0.014714166345721674
10,7.0,アルアイン,0.014714166345721674
11,7.0,スワーヴリチャード,0.014714166345721674
14,7.0,スカーレットカラー,0.014714166345721674


# 馬 + 年での学習
# 値が同じものがめちゃくちゃ多い
　＝上手く学習できていない．同時に出走するレースが少ない？
　＝もしくは，データの数が足りていない？

rank,馬名,score
1.0,レイデオロ,-0.16735087002527857
2.0,リスグラシュー,-0.045675850331361983
2.0,シュヴァルグラン,-0.045675850331361983
2.0,スティッフェリオ,-0.045675850331361983
2.0,アエロリット,-0.045675850331361983
2.0,クロコスミア,-0.045675850331361983
7.0,サートゥルナーリア,0.010672815310680345
7.0,ワールドプレミア,0.010672815310680345
7.0,フィエールマン,0.010672815310680345
7.0,キセキ,0.010672815310680345
7.0,ヴェロックス,0.010672815310680345
7.0,アーモンドアイ,0.010672815310680345
7.0,エタリオウ,0.010672815310680345
7.0,アルアイン,0.010672815310680345
7.0,スワーヴリチャード,0.010672815310680345
7.0,スカーレットカラー,0.010672815310680345
