,Unnamed: 0,3平均着順,タイム,上り,人気,備考,単勝,厩舎ｺﾒﾝﾄ,性齢,斤量,枠番,着差,着順,調教師,調教ﾀｲﾑ,賞金(万円),通過,馬主,馬体重,馬名,馬番,騎手,ﾀｲﾑ指数,天候,地面,発走,場所,レース名,ラウンド数,コース,日付
0,0,3.75,2:12.0,34.0,4.0,,11.2,,牡5,56.0,8.0,,1,[西]音無秀孝,,"6,770.0",1-1-1-1,社台レースホース,442,スティッフェリオ,9,丸山元気,**,曇 ,良 ,15,中山,第65回産経賞オールカマー(G2),11R,芝右外2200m ,2019-09-22
1,1,3.25,2:12.3,33.4,3.0,,4.9,,牡5,56.0,1.0,1.3/4,2,[東]菊沢隆徳,,"2,720.0",9-9-8-8,野田みづき,476,ミッキースワロー,1,菊沢一樹,**,曇 ,良 ,15,中山,第65回産経賞オールカマー(G2),11R,芝右外2200m ,2019-09-22
2,2,7.25,2:12.4,33.6,6.0,,21.4,,牡4,56.0,4.0,1/2,3,[西]野中賢二,,"1,710.0",7-7-8-5,カナヤマホールディングス,494,グレイル,4,戸崎圭太,**,曇 ,良 ,15,中山,第65回産経賞オールカマー(G2),11R,芝右外2200m ,2019-09-22
3,3,3.25,2:12.4,33.9,1.0,,2.2,,牡5,58.0,7.0,ハナ,4,[東]藤沢和雄,,"1,000.0",7-7-5-5,キャロットファーム,482,レイデオロ,8,福永祐一,**,曇 ,良 ,15,中山,第65回産経賞オールカマー(G2),11R,芝右外2200m ,2019-09-22
4,4,1.25,2:12.5,33.9,5.0,,14.6,,牡5,56.0,3.0,3/4,5,[東]林徹,,670.0,6-6-7-5,広尾レース,490,クレッシェンドラヴ,3,内田博幸,**,曇 ,良 ,15,中山,第65回産経賞オールカマー(G2),11R,芝右外2200m ,2019-09-22
5,5,4.75,2:12.5,34.3,7.0,,25.6,,牡4,56.0,2.0,ハナ,6,[東]藤沢和雄,,,3-3-2-2,山本英俊,504,ゴーフォザサミット,2,石橋脩,**,曇 ,良 ,15,中山,第65回産経賞オールカマー(G2),11R,芝右外2200m ,2019-09-22
6,6,5.0,2:12.6,33.6,8.0,,79.2,,牡8,56.0,8.0,3/4,7,[東]上原博之,,,10-9-10-9,国本哲秀,450,ショウナンバッハ,10,吉田豊,**,曇 ,良 ,15,中山,第65回産経賞オールカマー(G2),11R,芝右外2200m ,2019-09-22
7,7,5.75,2:12.8,34.3,10.0,,286.6,,牡6,56.0,6.0,1.1/4,8,[東]牧光二,,,5-5-5-3,高嶋祐子,480,エンジニア,6,津村明秀,**,曇 ,良 ,15,中山,第65回産経賞オールカマー(G2),11R,芝右外2200m ,2019-09-22
8,8,0.75,2:13.5,35.1,2.0,,3.0,,牡5,58.0,7.0,4,9,[東]畠山吉宏,,,3-3-4-3,ウイン,494,ウインブライト,7,松岡正海,**,曇 ,良 ,15,中山,第65回産経賞オールカマー(G2),11R,芝右外2200m ,2019-09-22
9,9,7.0,2:16.2,38.0,9.0,,171.2,,セ4,56.0,5.0,大,10,[西]森秀行,,,2-2-2-9,トニー倶楽部,444,トニーファイブ,5,藤田菜七,**,曇 ,良 ,15,中山,第65回産経賞オールカマー(G2),11R,芝右外2200m ,2019-09-22
10,0,2.0,1:44.5,33.8,1.0,,2.3,,牝4,55.0,6.0,,1,[東]菊沢隆徳,,"6,791.0",1-1-1,サンデーレーシング,508,アエロリット,9,モレイラ,**,晴 ,良 ,15,東京,第69回毎日王冠(G2),11R,芝左1800m ,2018-10-07
11,1,3.25,1:44.7,33.2,3.0,,5.3,,牡3,55.0,4.0,1.1/4,2,[東]木村哲也,,"2,726.0",6-8-8,サンデーレーシング,468,ステルヴィオ,5,ルメール,**,晴 ,良 ,15,東京,第69回毎日王冠(G2),11R,芝左1800m ,2018-10-07
12,2,6.5,1:44.7,33.9,6.0,,15.8,,牡4,58.0,1.0,クビ,3,[西]中竹和也,,"1,713.0",2-2-2,石川達絵,504,キセキ,1,川田将雅,**,晴 ,良 ,15,東京,第69回毎日王冠(G2),11R,芝左1800m ,2018-10-07
13,3,5.5,1:44.7,33.7,8.0,,38.4,,牡7,56.0,3.0,ハナ,4,[西]藤原英昭,,"1,000.0",2-3-3,キャロットファーム,482,ステファノス,3,福永祐一,**,晴 ,良 ,15,東京,第69回毎日王冠(G2),11R,芝左1800m ,2018-10-07
14,4,1.0,1:44.9,33.6,4.0,,7.5,,牡3,56.0,2.0,1,5,[西]平田修,,670.0,8-6-5,亀田和弘,466,ケイアイノーテック,2,藤岡佑介,**,晴 ,良 ,15,東京,第69回毎日王冠(G2),11R,芝左1800m ,2018-10-07
15,5,1.25,1:45.1,33.6,2.0,,4.7,,牡4,56.0,4.0,1.1/4,6,[西]池江泰寿,,,9-9-8,サトミホースカンパニー,484,サトノアーサー,4,戸崎圭太,**,晴 ,良 ,15,東京,第69回毎日王冠(G2),11R,芝左1800m ,2018-10-07
16,6,4.5,1:45.2,33.9,5.0,,8.5,,牡4,56.0,5.0,クビ,7,[東]菊沢隆徳,,,5-6-5,大城敬三,494,ダイワキャグニー,7,横山典弘,**,晴 ,良 ,15,東京,第69回毎日王冠(G2),11R,芝左1800m ,2018-10-07
17,7,4.5,1:45.2,33.4,11.0,,98.2,,牡7,56.0,7.0,アタマ,8,[西]橋田満,,,10-11-11,永井啓弍,506,スズカデヴィアス,10,三浦皇成,**,晴 ,良 ,15,東京,第69回毎日王冠(G2),11R,芝左1800m ,2018-10-07
18,8,5.75,1:45.4,33.5,10.0,,53.3,,牡7,56.0,7.0,1.1/4,9,[西]藤岡健一,,,12-12-11,吉田照哉,492,サウンズオブアース,11,田辺裕信,**,晴 ,良 ,15,東京,第69回毎日王冠(G2),11R,芝左1800m ,2018-10-07
19,9,5.5,1:45.9,34.4,7.0,,32.1,,セ6,56.0,5.0,3,10,[東]国枝栄,,,11-9-8,キャロットファーム,498,サンマルティン,6,池添謙一,**,晴 ,良 ,15,東京,第69回毎日王冠(G2),11R,芝左1800m ,2018-10-07
20,10,8.0,1:46.6,34.6,13.0,,467.0,,牡8,56.0,6.0,4,11,[東]和田勇介,,,13-12-13,福井明,470,アクションスター,8,大野拓弥,**,晴 ,良 ,15,東京,第69回毎日王冠(G2),11R,芝左1800m ,2018-10-07
21,11,3.5,1:46.8,35.5,9.0,,42.0,,牡3,55.0,8.0,1.1/4,12,[西]池添兼雄,,,6-5-5,カナヤマホールディングス,482,カツジ,12,松山弘平,**,晴 ,良 ,15,東京,第69回毎日王冠(G2),11R,芝左1800m ,2018-10-07
22,12,8.5,1:47.8,36.7,12.0,,254.7,,牡6,56.0,8.0,6,13,[東]堀宣行,,,2-3-3,キャロットファーム,476,レアリスタ,13,石橋脩,**,晴 ,良 ,15,東京,第69回毎日王冠(G2),11R,芝左1800m ,2018-10-07
23,0,2.75,2:26.56,,6.0,,13.0,, ,57.0,,,1,,,,,,,エグザルタント,4,パートン,, ,良 ,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m ,2018-12-09
24,1,2.75,2:26.59,,2.0,,4.5,, ,55.5,,,2,,,,,,,リスグラシュー,10,モレイラ,, ,良 ,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m ,2018-12-09
25,2,2.5,2:27.01,,10.0,,44.1,, ,55.5,,,3,,,,,,,エジーラ,12,ルメール,, ,良 ,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m ,2018-12-09
26,3,1.75,2:27.13,,9.0,,17.8,, ,57.0,,,4,,,,,,,イーグルウェイ,6,デソウサ,, ,良 ,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m ,2018-12-09
27,4,2.5,2:27.27,,1.0,,2.6,,牡4,57.0,,,5,[外]ファーブ,,,,Gestut Ammerland & Newsells Park,,ヴァルトガイスト,1,ブドー,, ,良 ,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m ,2018-12-09
28,5,5.25,2:27.32,,3.0,,6.0,, ,57.0,,,6,,,,,,,パキスタンスター,2,ビュイッ,, ,良 ,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m ,2018-12-09
29,6,2.75,2:27.68,,12.0,,203.5,, ,55.0,,,7,,,,,,,ロストロポーヴィチ,14,ローダン,, ,良 ,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m ,2018-12-09
30,7,1.75,2:27.74,,11.0,,121.6,, ,57.0,,,8,,,,,,,プリンスオブアラン,8,ウォーカ,, ,良 ,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m ,2018-12-09
31,8,3.25,2:27.75,,5.0,,11.6,, ,57.0,,,9,,,,,,,サルウィン,3,マーフィ,, ,良 ,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m ,2018-12-09
32,9,3.75,2:27.95,,8.0,,14.8,, ,55.5,,,10,,,,,,,クロコスミア,11,岩田康誠,, ,良 ,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m ,2018-12-09
33,10,2.75,2:28.02,,7.0,,14.4,, ,55.0,,,11,,,,,,,ラトローブ,13,マクドナ,, ,良 ,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m ,2018-12-09
34,11,5.5,2:29.01,,13.0,,244.9,, ,57.0,,,12,,,,,,,リヴン,9,ボウマン,, ,良 ,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m ,2018-12-09
35,12,4.5,2:30.14,,14.0,,246.4,, ,57.0,,,13,,,,,,,レッドヴァードン,7,ドイル,, ,良 ,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m ,2018-12-09
36,13,1.25,2:33.09,,4.0,,11.1,, ,57.0,,,14,,,,,,,ミラージュダンサー,5,ムーア,, ,良 ,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m ,2018-12-09
37,0,3.75,2:00.1,34.9,3.0,,4.7,,牡4,57.0,1.0,,1,[東]大竹正博,,"7,099.4",9-9-8-6,シルクレーシング,536,ブラストワンピース,1,川田将雅,**,晴 ,良 ,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,2019-08-18
38,1,5.25,2:00.1,35.6,4.0,,7.8,,牡5,57.0,6.0,クビ,2,[西]浅見秀一,,"2,828.4",3-3-4-2,Ｇ１レーシング,486,サングレーザー,10,岩田康誠,**,晴 ,良 ,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,2019-08-18
39,2,1.0,2:00.3,34.9,1.0,,2.3,,牡4,57.0,6.0,1,3,[東]手塚貴久,,"1,814.2",9-9-10-9,サンデーレーシング,480,フィエールマン,9,ルメール,**,晴 ,良 ,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,2019-08-18
40,3,1.25,2:00.3,35.9,2.0,,3.7,,牡4,57.0,7.0,クビ,4,[西]友道康夫,,"1,100.0",4-4-3-2,金子真人ホールディングス,472,ワグネリアン,12,福永祐一,**,晴 ,良 ,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,2019-08-18
41,4,6.25,2:00.4,35.4,5.0,,17.7,,牡5,57.0,7.0,1/2,5,[西]池江泰寿,,700.0,8-7-7-5,Ｇ１レーシング,490,ペルシアンナイト,11,Ｍ．デム,**,晴 ,良 ,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,2019-08-18
42,5,5.25,2:00.7,36.7,11.0,,164.6,,牝6,55.0,5.0,2,6,[西]上村洋行,,,1-1-1-1,栄進堂,504,エイシンティンクル,7,勝浦正樹,**,晴 ,良 ,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,2019-08-18
43,6,3.5,2:00.8,36.5,6.0,,18.5,,牝6,55.0,8.0,クビ,7,[西]西浦勝一,,,2-2-2-2,大塚亮一,444,クロコスミア,14,戸崎圭太,**,晴 ,良 ,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,2019-08-18
44,7,2.5,2:01.0,35.5,9.0,,44.5,,牡7,57.0,2.0,1.1/4,8,[西]高野友和,,,12-12-10-9,キャロットファーム,538,クルーガー,2,丸山元気,**,晴 ,良 ,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,2019-08-18
45,8,4.75,2:01.0,36.4,8.0,,32.9,,牡4,57.0,3.0,ハナ,9,[西]矢作芳人,,,6-5-4-6,社台レースホース,456,ステイフーリッシュ,3,中谷雄太,**,晴 ,良 ,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,2019-08-18
46,9,4.25,2:01.0,35.3,10.0,,129.6,,牡4,57.0,5.0,クビ,10,[東]藤沢和雄,,,12-12-12-13,山本英俊,488,ゴーフォザサミット,8,石橋脩,**,晴 ,良 ,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,2019-08-18
47,10,6.0,2:01.1,36.3,13.0,,214.4,,牡6,57.0,4.0,クビ,11,[西]昆貢,,,5-5-6-6,ロードホースクラブ,496,ロードヴァンドール,5,横山武史,**,晴 ,良 ,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,2019-08-18
48,11,3.75,2:01.4,35.7,14.0,,244.0,,牡6,57.0,3.0,1.3/4,12,[西]池添兼雄,,,12-14-12-12,市川義美ホールディングス,454,ナイトオブナイツ,4,池添謙一,**,晴 ,良 ,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,2019-08-18
49,12,4.75,2:02.7,37.5,12.0,,172.2,,牡8,57.0,8.0,8,13,[東]金成貴史,,,6-7-8-11,さくらコマース,480,サクラアンプルール,13,横山典弘,**,晴 ,良 ,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,2019-08-18
50,13,2.75,2:03.0,37.3,7.0,,28.5,,牡3,54.0,4.0,1.3/4,14,[東]藤沢和雄,,,9-11-12-14,窪田芳郎,494,ランフォザローゼス,6,藤岡佑介,**,晴 ,良 ,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,2019-08-18
51,0,1.75,2:00.7,34.2,2.0,,2.6,,牡3,56.0,7.0,,1,[西]中内田充,,"2,017.5",4-4-3-2,金子真人ホールディングス,490,ヴェロックス,7,川田将雅,**,晴 ,良 ,15,京都,若駒ステークス(L),10R,芝右2000m ,2019-01-19
52,1,0.5,2:01.0,34.3,1.0,,1.9,,牡3,56.0,8.0,1.3/4,2,[西]松田国英,,805.0,6-5-5-5,サトミホースカンパニー,486,サトノウィザード,8,ルメール,**,晴 ,良 ,15,京都,若駒ステークス(L),10R,芝右2000m ,2019-01-19
53,2,0.5,2:01.3,34.9,8.0,,74.8,,牝3,54.0,5.0,2,3,[西]西村真幸,,502.5,2-3-3-4,山本剛士,472,フェアリーポルカ,5,和田竜二,**,晴 ,良 ,15,京都,若駒ステークス(L),10R,芝右2000m ,2019-01-19
54,3,2.0,2:01.3,34.4,6.0,,40.4,,牡3,56.0,1.0,クビ,4,[西]佐々木晶,,300.0,7-7-7-7,上田亙,482,ショウリュウイクゾ,1,浜中俊,**,晴 ,良 ,15,京都,若駒ステークス(L),10R,芝右2000m ,2019-01-19
55,4,1.5,2:01.6,34.9,5.0,,20.9,,牡3,56.0,2.0,2,5,[西]松永幹夫,,200.0,5-5-5-5,寺田千代乃,486,リオンリオン,2,福永祐一,**,晴 ,良 ,15,京都,若駒ステークス(L),10R,芝右2000m ,2019-01-19
56,5,2.25,2:02.0,35.1,7.0,,58.6,,牡3,56.0,3.0,2.1/2,6,[西]杉山晴紀,,,8-8-7-7,ロードホースクラブ,462,ロードマイウェイ,3,藤岡佑介,**,晴 ,良 ,15,京都,若駒ステークス(L),10R,芝右2000m ,2019-01-19
57,6,3.0,2:02.0,35.8,3.0,,7.5,,牡3,56.0,6.0,クビ,7,[西]河内洋,,,1-1-1-1,廣崎利洋,506,キングリスティア,6,岩田康誠,**,晴 ,良 ,15,京都,若駒ステークス(L),10R,芝右2000m ,2019-01-19
58,7,1.5,2:02.7,36.4,4.0,,7.7,,牡3,56.0,4.0,4,8,[西]友道康夫,,,2-2-2-2,佐々木主浩,468,ブラヴァス,4,武豊,**,晴 ,良 ,15,京都,若駒ステークス(L),10R,芝右2000m ,2019-01-19
59,0,2.75,1:58.81,,4.0,,8.5,,牡5,57.0,,,1,[東]畠山吉宏,,,,ウイン,483,ウインブライト,4,松岡正海,, ,良 ,0,8R,QE2世C(G1),結果/払戻,芝右2000m ,2019-04-28
60,1,0.75,1:58.95,,1.0,,2.2,,セ5,57.0,,,2,[外]クルーズ,,,,Eddie Wong Ming Chak & Wong Leung Sau Hing,474,エグザルタント,1,パートン,, ,良 ,0,8R,QE2世C(G1),結果/払戻,芝右2000m ,2019-04-28
61,2,1.25,1:58.97,,2.0,,4.1,,牝5,55.5,,,3,[西]矢作芳人,,,,キャロットファーム,458,リスグラシュー,12,マーフィ,, ,良 ,0,8R,QE2世C(G1),結果/払戻,芝右2000m ,2019-04-28
62,3,3.5,1:59.11,,9.0,,31.6,,セ5,57.0,,,4,[外]ロー,,,,Michael Kwan Wing Lok,523,グロリアスフォーエバー,3,リョン,, ,良 ,0,8R,QE2世C(G1),結果/払戻,芝右2000m ,2019-04-28
63,4,4.25,1:59.14,,7.0,,24.7,,セ6,57.0,,,5,[外]オサリバ,,,,Kerm Din,530,パキスタンスター,5,チャドウ,, ,良 ,0,8R,QE2世C(G1),結果/払戻,芝右2000m ,2019-04-28
64,5,3.0,1:59.49,,3.0,,6.3,,牝5,55.5,,,6,[西]橋田満,,,,森田藤治,503,ディアドラ,13,武豊,, ,良 ,0,8R,QE2世C(G1),結果/払戻,芝右2000m ,2019-04-28
65,6,1.75,1:59.66,,8.0,,26.0,,セ4,57.0,,,7,[外]ロー,,,,Albert Hung Chao Hong,493,Dark Dream,9,クラーク,, ,良 ,0,8R,QE2世C(G1),結果/払戻,芝右2000m ,2019-04-28
66,7,3.5,1:59.95,,13.0,,293.2,,セ6,57.0,,,8,[外]サイズ,,,,Siu Pak Kwan,478,ディノーゾ,10,ホー,, ,良 ,0,8R,QE2世C(G1),結果/払戻,芝右2000m ,2019-04-28
67,8,4.5,2:00.12,,10.0,,42.4,,セ7,57.0,,,9,[外]ムーア,,,,Siu Pak Kwan,494,イーグルウェイ,6,リスポリ,, ,良 ,0,8R,QE2世C(G1),結果/払戻,芝右2000m ,2019-04-28
68,9,1.5,2:00.26,,5.0,,13.0,,セ5,57.0,,,10,[外]ロー,,,,Lee Sheung Chau,490,Furore,8,ボウマン,, ,良 ,0,8R,QE2世C(G1),結果/払戻,芝右2000m ,2019-04-28
69,10,6.0,2:00.97,,11.0,,86.2,,セ6,57.0,,,11,[外]クルーズ,,,,Martin Siu Kim Sun,566,タイムワープ,2,ティータ,, ,良 ,0,8R,QE2世C(G1),結果/払戻,芝右2000m ,2019-04-28
70,11,2.5,2:02.35,,6.0,,19.4,,セ4,57.0,,,12,[外]サイズ,,,,Jocelyn Siu Yang Hin Ting,494,Waikuku,11,モレイラ,, ,良 ,0,8R,QE2世C(G1),結果/払戻,芝右2000m ,2019-04-28
71,12,3.75,2:06.67,,12.0,,174.3,,牡5,57.0,,,13,[外]トッド,,,,Sir Peter Vela,498,Eminent,7,マクドナ,, ,良 ,0,8R,QE2世C(G1),結果/払戻,芝右2000m ,2019-04-28
72,0,0.75,2:23.8,33.2,1.0,,1.7,,牝3,55.0,7.0,,1,[東]国枝栄,,"13,746.1",6-6-6-5,シルクレーシング,466,アーモンドアイ,13,ルメール,**,晴 ,良 ,15,東京,第79回優駿牝馬(G1),11R,芝左2400m ,2018-05-20
73,1,2.0,2:24.1,33.9,4.0,,12.3,,牝3,55.0,1.0,2,2,[西]藤岡健一,,"5,184.6",3-3-3-3,サンデーレーシング,496,リリーノーブル,1,川田将雅,**,晴 ,良 ,15,東京,第79回優駿牝馬(G1),11R,芝左2400m ,2018-05-20
74,2,1.0,2:24.4,33.9,2.0,,4.1,,牝3,55.0,1.0,1.3/4,3,[西]松永幹夫,,"3,192.3",4-5-4-5,サンデーレーシング,492,ラッキーライラック,2,石橋脩,**,晴 ,良 ,15,東京,第79回優駿牝馬(G1),11R,芝左2400m ,2018-05-20
75,3,2.5,2:24.7,33.9,11.0,,83.9,,牝3,55.0,5.0,1.3/4,4,[西]藤原英昭,,"1,700.0",6-7-7-7,東京ホースレーシング,466,レッドサクヤ,10,福永祐一,**,晴 ,良 ,15,東京,第79回優駿牝馬(G1),11R,芝左2400m ,2018-05-20
76,4,3.0,2:24.8,34.0,6.0,,28.7,,牝3,55.0,2.0,1/2,5,[東]手塚貴久,,"1,100.0",8-8-8-7,落合幸弘,438,マウレア,3,武豊,**,晴 ,良 ,15,東京,第79回優駿牝馬(G1),11R,芝左2400m ,2018-05-20
77,5,1.25,2:25.1,34.3,3.0,,5.5,,牝3,55.0,4.0,1.3/4,6,[西]角居勝彦,,,9-8-8-7,サトミホースカンパニー,452,サトノワルキューレ,8,Ｍ．デム,**,晴 ,良 ,15,東京,第79回優駿牝馬(G1),11R,芝左2400m ,2018-05-20
78,6,1.25,2:25.1,34.1,9.0,,72.9,,牝3,55.0,6.0,クビ,7,[東]牧光二,,,11-11-10-10,バイオ,428,パイオニアバイオ,11,北村宏司,**,晴 ,良 ,15,東京,第79回優駿牝馬(G1),11R,芝左2400m ,2018-05-20
79,7,2.75,2:25.2,34.2,12.0,,200.3,,牝3,55.0,7.0,1/2,8,[西]鈴木孝志,,,12-11-10-10,岡浩二,436,ウスベニノキミ,15,三浦皇成,**,晴 ,良 ,15,東京,第79回優駿牝馬(G1),11R,芝左2400m ,2018-05-20
80,8,1.0,2:25.4,34.4,5.0,,24.7,,牝3,55.0,3.0,1,9,[西]中内田充,,,9-10-10-10,ロードホースクラブ,444,オールフォーラヴ,6,和田竜二,**,晴 ,良 ,15,東京,第79回優駿牝馬(G1),11R,芝左2400m ,2018-05-20
81,9,0.6666666666666666,2:25.5,34.2,8.0,,70.2,,牝3,55.0,8.0,1/2,10,[東]尾関知人,,,14-14-14-14,サンデーレーシング,442,ロサグラウカ,17,戸崎圭太,**,晴 ,良 ,15,東京,第79回優駿牝馬(G1),11R,芝左2400m ,2018-05-20
82,10,2.5,2:25.7,36.1,10.0,,80.8,,牝3,55.0,7.0,1.1/2,11,[西]角居勝彦,,,2-2-2-2,小林英一ホールディングス,506,ランドネ,14,内田博幸,**,晴 ,良 ,15,東京,第79回優駿牝馬(G1),11R,芝左2400m ,2018-05-20
83,11,3.5,2:25.9,34.7,16.0,,406.4,,牝3,55.0,5.0,1.1/4,12,[西]西村真幸,,,12-13-13-13,小林正和,482,シスターフラッグ,9,岩田康誠,**,晴 ,良 ,15,東京,第79回優駿牝馬(G1),11R,芝左2400m ,2018-05-20
84,12,1.0,2:25.9,35.5,7.0,,36.3,,牝3,55.0,3.0,クビ,13,[西]角居勝彦,,,4-4-4-4,石川達絵,438,カンタービレ,5,田辺裕信,**,晴 ,良 ,15,東京,第79回優駿牝馬(G1),11R,芝左2400m ,2018-05-20
85,13,3.25,2:26.1,34.6,13.0,,241.3,,牝3,55.0,4.0,1.1/4,14,[西]谷潔,,,15-15-15-15,東豊物産,472,トーホウアルテミス,7,松若風馬,**,晴 ,良 ,15,東京,第79回優駿牝馬(G1),11R,芝左2400m ,2018-05-20
86,14,5.0,2:26.3,34.7,17.0,,669.0,,牝3,55.0,8.0,1.1/4,15,[西]宮徹,,,16-16-16-15,ウイン,402,ウインラナキラ,16,大野拓弥,**,晴 ,良 ,15,東京,第79回優駿牝馬(G1),11R,芝左2400m ,2018-05-20
87,15,7.5,2:26.5,37.6,14.0,,262.5,,牝3,55.0,6.0,1.1/2,16,[西]田所秀孝,,,1-1-1-1,瀬谷隆雄,454,サヤカチャン,12,松岡正海,**,晴 ,良 ,15,東京,第79回優駿牝馬(G1),11R,芝左2400m ,2018-05-20
88,16,4.75,2:26.7,34.8,15.0,,338.4,,牝3,55.0,8.0,1.1/2,17,[東]堀宣行,,,17-17-17-17,金子真人ホールディングス,414,オハナ,18,藤岡康太,**,晴 ,良 ,15,東京,第79回優駿牝馬(G1),11R,芝左2400m ,2018-05-20
89,17,2.5,,,,,---,,牝3,55.0,2.0,,取,[東]加藤征弘,,,,島川隆哉,,トーセンブレス,4,柴田善臣,**,晴 ,良 ,15,東京,第79回優駿牝馬(G1),11R,芝左2400m ,2018-05-20
90,0,2.5,1:46.7,34.2,3.0,,6.0,,牡5,57.0,7.0,,1,[西]音無秀孝,,"4,150.4",5-4-4-4,社台レースホース,450,スティッフェリオ,12,丸山元気,**,晴 ,良 ,15,小倉,第53回小倉大賞典(G3),11R,芝右1800m ,2019-02-17
91,1,4.0,1:46.7,34.5,1.0,,4.0,,牡4,54.0,3.0,クビ,2,[西]角居勝彦,,"1,614.4",2-2-2-2,谷水雄三,522,タニノフランケル,3,川田将雅,**,晴 ,良 ,15,小倉,第53回小倉大賞典(G3),11R,芝右1800m ,2019-02-17
92,2,6.0,1:46.9,35.6,14.0,,127.5,,牡9,53.0,1.0,1.1/2,3,[西]梅田智之,,"1,007.2",1-1-1-1,澤田昭紀,464,サイモンラムセス,1,小牧太,**,晴 ,良 ,15,小倉,第53回小倉大賞典(G3),11R,芝右1800m ,2019-02-17
93,3,3.0,1:47.0,34.0,7.0,,14.3,,牡6,56.0,7.0,クビ,4,[西]池添兼雄,,620.0,12-12-10-9,市川義美ホールディングス,460,ナイトオブナイツ,11,古川吉洋,**,晴 ,良 ,15,小倉,第53回小倉大賞典(G3),11R,芝右1800m ,2019-02-17
94,4,3.5,1:47.0,34.5,4.0,,7.6,,牡8,57.0,2.0,ハナ,5,[西]吉村圭司,,410.0,4-4-4-4,ラッキーフィールド,504,エアアンセム,2,吉田隼人,**,晴 ,良 ,15,小倉,第53回小倉大賞典(G3),11R,芝右1800m ,2019-02-17
95,5,3.75,1:47.0,34.4,5.0,,8.1,,牡6,56.0,3.0,ハナ,6,[西]池江泰寿,,,5-6-6-6,青芝商事,452,マウントゴールド,4,浜中俊,**,晴 ,良 ,15,小倉,第53回小倉大賞典(G3),11R,芝右1800m ,2019-02-17
96,6,5.5,1:47.0,34.7,9.0,,19.0,,牡6,57.0,5.0,アタマ,7,[西]音無秀孝,,,2-3-2-2,サンデーレーシング,518,ブラックスピネル,7,三浦皇成,**,晴 ,良 ,15,小倉,第53回小倉大賞典(G3),11R,芝右1800m ,2019-02-17
97,7,5.5,1:47.2,34.4,6.0,,8.5,,牡7,55.0,4.0,1.1/4,8,[西]角居勝彦,,,10-7-8-6,金子真人ホールディングス,484,レトロロック,5,松若風馬,**,晴 ,良 ,15,小倉,第53回小倉大賞典(G3),11R,芝右1800m ,2019-02-17
98,8,8.0,1:47.3,34.0,12.0,,60.9,,セ7,53.0,6.0,1/2,9,[西]橋田満,,,13-13-13-13,永井啓弍,422,スズカディープ,9,岩崎翼,**,晴 ,良 ,15,小倉,第53回小倉大賞典(G3),11R,芝右1800m ,2019-02-17
99,9,3.0,1:47.3,34.5,2.0,,5.6,,牡5,56.0,5.0,ハナ,10,[西]昆貢,,,5-7-8-8,寺田千代乃,456,マイスタイル,8,田中勝春,**,晴 ,良 ,15,小倉,第53回小倉大賞典(G3),11R,芝右1800m ,2019-02-17
100,10,4.5,1:47.4,34.4,8.0,,16.6,,牡4,54.0,6.0,1/2,11,[西]杉山晴紀,,,8-10-10-9,瀧本和義,460,ケイティクレバー,10,秋山真一,**,晴 ,良 ,15,小倉,第53回小倉大賞典(G3),11R,芝右1800m ,2019-02-17
101,11,8.25,1:47.6,34.6,13.0,,124.1,,牝6,54.0,8.0,1,12,[西]本田優,,,11-10-10-9,吉岡實,454,エテルナミノル,13,松田大作,**,晴 ,良 ,15,小倉,第53回小倉大賞典(G3),11R,芝右1800m ,2019-02-17
102,12,7.0,1:47.9,34.4,10.0,,19.2,,牡7,57.5,4.0,2,13,[東]堀井雅広,,,14-14-14-13,藤田在子,536,マルターズアポジー,6,柴田善臣,**,晴 ,良 ,15,小倉,第53回小倉大賞典(G3),11R,芝右1800m ,2019-02-17
