rank,馬名,score
1.0,サートゥルナーリア,-8.064347500560462
2.0,アーモンドアイ,-7.710475135604776
3.0,ワールドプレミア,-5.588766255846373
4.0,シュヴァルグラン,-3.822752686876438
5.0,キセキ,-1.418992250517304
6.0,スワーヴリチャード,-1.3426872784338886
7.0,アルアイン,-1.1260307071117113
8.0,ヴェロックス,-1.0234929757792885
9.0,リスグラシュー,-0.5987863923982844
10.0,アエロリット,-0.1216287314478156
11.0,スティッフェリオ,0.4478037392054456
12.0,スカーレットカラー,0.669932281412668
13.0,レイデオロ,2.1888540139142396
14.0,フィエールマン,4.693095472423288
15.0,エタリオウ,4.833234722779352
16.0,クロコスミア,8.286420953857087
