,タイム,上り,人気,備考,単勝,厩舎ｺﾒﾝﾄ,性齢,斤量,枠番,着差,着順,調教師,調教ﾀｲﾑ,賞金(万円),通過,馬主,馬体重,馬名,馬番,騎手,ﾀｲﾑ指数,発走,場所,レース名,ラウンド数,コース,天候,地面,日付
0,2:25.9,36.5,3,,5.1,,牡5,57,3,,1,[西]庄野靖志,,"30,319.2",7-7-6-5,ＮＩＣＫＳ,516(+2),スワーヴリチャード,5,マーフィ,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
1,2:26.0,36.9,5,,10.5,,牝3,53,1,3/4,2,[東]国枝栄,,"12,091.2",4-4-3-2,鈴木隆司,466(+2),カレンブーケドール,1,津村明秀,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
2,2:26.2,36.6,2,,4.3,,牡4,57,2,1.1/2,3,[西]友道康夫,,"7,545.6",6-6-6-8,金子真人ホールディングス,458(-4),ワグネリアン,2,川田将雅,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
3,2:26.5,36.3,12,,50.4,,牡6,57,8,1.3/4,4,[西]友道康夫,,"4,500.0",15-15-15-13,金子真人ホールディングス,506(+2),マカヒキ,14,武豊,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
4,2:26.6,36.7,4,,6.2,,牡4,57,4,クビ,5,[西]友道康夫,,"3,000.0",12-12-12-12,金子真人ホールディングス,488(0),ユーキャンスマイル,6,岩田康誠,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
5,2:26.6,37.9,14,,120.9,,牡5,57,4,クビ,6,[東]菊沢隆徳,,,1-1-1-1,大城敬三,508(+6),ダイワキャグニー,7,石橋脩,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
6,2:26.9,37.7,9,,23.8,,牡4,57,7,1.1/2,7,[西]友道康夫,,,4-4-3-2,Ｇリビエール・レーシング,462(-16),エタリオウ,13,横山典弘,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
7,2:27.1,37.4,7,,15.4,,牡5,57,3,1.1/4,8,[西]角田晃一,,,9-9-9-8,市川義美ホールディングス,488(0),ムイトオブリガード,4,ルメール,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
8,2:27.1,37.6,8,,20.0,,牡7,57,6,クビ,9,[西]友道康夫,,,7-7-6-7,佐々木主浩,464(0),シュヴァルグラン,11,スミヨン,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
9,2:27.3,36.9,6,,15.4,,牡6,57,5,1.1/2,10,[西]藤原英昭,,,13-13-12-15,飯塚知一,440(-2),ルックトゥワイス,9,デットー,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
10,2:28.1,38.4,1,,4.2,,牡5,57,5,5,11,[東]藤沢和雄,,,9-11-9-8,キャロットファーム,486(+4),レイデオロ,8,ビュイッ,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
11,2:28.9,39.5,15,,244.4,,牡6,57,2,5,12,[西]杉山晴紀,,,3-3-3-5,ウイン,514(-2),ウインテンダネス,3,田辺裕信,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
12,2:29.1,39.4,11,,34.3,,牡4,57,8,1.1/2,13,[東]堀宣行,,,9-9-9-8,金子真人ホールディングス,480(+8),ジナンボー,15,ムーア,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
13,2:29.2,40.1,10,,30.7,,牡5,57,6,クビ,14,[西]音無秀孝,,,2-2-2-2,サンデーレーシング,488(-6),ダンビュライト,10,松若風馬,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
14,2:29.8,39.5,13,,58.0,,牡4,57,7,3.1/2,15,[西]矢作芳人,,,14-14-14-13,田中成奉,486(+2),タイセイトレイル,12,Ｍ．デム,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
0,1:33.0,33.9,3,,6.4,,牡4,57,3,,1,[西]音無秀孝,,"11,357.0",4-5,シルクレーシング,472(-4),インディチャンプ,5,池添謙一,**,15,京都,第36回マイルチャンピオンS(G1),11R,芝右外1600m ,晴 ,良 ,2019-11-17
1,1:33.2,34.2,1,,2.4,,牡4,57,7,1.1/2,2,[西]中内田充,,"4,502.0",4-3,ダノックス,506(-2),ダノンプレミアム,14,川田将雅,**,15,京都,第36回マイルチャンピオンS(G1),11R,芝右外1600m ,晴 ,良 ,2019-11-17
2,1:33.3,33.7,6,,17.6,,牡5,57,4,クビ,3,[西]池江泰寿,,"2,851.0",10-12,Ｇ１レーシング,498(+6),ペルシアンナイト,7,マーフィ,**,15,京都,第36回マイルチャンピオンS(G1),11R,芝右外1600m ,晴 ,良 ,2019-11-17
3,1:33.4,34.6,10,,46.8,,牡5,57,2,1/2,4,[西]昆貢,,"1,700.0",1-1,寺田千代乃,468(+4),マイスタイル,3,田中勝春,**,15,京都,第36回マイルチャンピオンS(G1),11R,芝右外1600m ,晴 ,良 ,2019-11-17
4,1:33.4,34.1,2,,3.9,,牡3,56,1,クビ,5,[東]萩原清,,"1,100.0",6-7,ダノックス,452(-2),ダノンキングリー,1,横山典弘,**,15,京都,第36回マイルチャンピオンS(G1),11R,芝右外1600m ,晴 ,良 ,2019-11-17
5,1:33.5,33.4,13,,80.4,,牡3,56,6,3/4,6,[西]池添学,,,16-15,キャロットファーム,490(+10),カテドラル,11,武豊,**,15,京都,第36回マイルチャンピオンS(G1),11R,芝右外1600m ,晴 ,良 ,2019-11-17
6,1:33.6,34.4,12,,68.4,,牡3,56,5,クビ,7,[西]藤沢則雄,,,6-5,栗本博晴,488(+4),クリノガウディー,9,藤岡佑介,**,15,京都,第36回マイルチャンピオンS(G1),11R,芝右外1600m ,晴 ,良 ,2019-11-17
7,1:33.8,34.8,11,,65.5,,牡7,57,1,1.1/4,8,[西]北出成人,,,3-3,松本俊廣,474(+2),グァンチャーレ,2,松岡正海,**,15,京都,第36回マイルチャンピオンS(G1),11R,芝右外1600m ,晴 ,良 ,2019-11-17
8,1:33.8,34.2,15,,152.3,,牝5,55,2,クビ,9,[西]藤原英昭,,,10-10,東京ホースレーシング,452(-2),レッドオルガ,4,岩田望来,**,15,京都,第36回マイルチャンピオンS(G1),11R,芝右外1600m ,晴 ,良 ,2019-11-17
9,1:33.8,34.0,4,,9.3,,牡4,57,8,クビ,10,[西]安田隆行,,,13-12,シルクレーシング,472(-4),ダイアトニック,15,スミヨン,**,15,京都,第36回マイルチャンピオンS(G1),11R,芝右外1600m ,晴 ,良 ,2019-11-17
10,1:33.9,34.5,9,,41.2,,牝4,55,4,1/2,11,[東]木村哲也,,,8-7,シルクレーシング,496(-10),プリモシーン,8,ビュイッ,**,15,京都,第36回マイルチャンピオンS(G1),11R,芝右外1600m ,晴 ,良 ,2019-11-17
11,1:34.1,33.8,17,,432.7,,牡5,57,7,1,12,[東]菊川正達,,,17-16,中村祐子,504(+6),タイムトリップ,13,幸英明,**,15,京都,第36回マイルチャンピオンS(G1),11R,芝右外1600m ,晴 ,良 ,2019-11-17
12,1:34.1,35.2,14,,119.8,,牡5,57,3,クビ,13,[西]高野友和,,,2-2,吉田和美,552(+8),フィアーノロマーノ,6,藤岡康太,**,15,京都,第36回マイルチャンピオンS(G1),11R,芝右外1600m ,晴 ,良 ,2019-11-17
13,1:34.2,34.8,7,,19.9,,牡5,57,6,クビ,14,[西]矢作芳人,,,8-7,キャピタル・システム,498(0),モズアスコット,12,和田竜二,**,15,京都,第36回マイルチャンピオンS(G1),11R,芝右外1600m ,晴 ,良 ,2019-11-17
14,1:34.3,34.4,8,,21.7,,牡4,57,8,1/2,15,[東]藤沢和雄,,,15-16,キャロットファーム,484(-2),レイエンダ,17,ルメール,**,15,京都,第36回マイルチャンピオンS(G1),11R,芝右外1600m ,晴 ,良 ,2019-11-17
15,1:34.9,35.4,5,,15.5,,牡5,57,5,3.1/2,16,[西]池江泰寿,,,10-10,サンデーレーシング,526(+10),アルアイン,10,ムーア,**,15,京都,第36回マイルチャンピオンS(G1),11R,芝右外1600m ,晴 ,良 ,2019-11-17
16,1:35.0,35.2,16,,267.5,,牡3,56,8,3/4,17,[東]相沢郁,,,13-14,高橋勉,450(0),エメラルファイト,16,石川裕紀,**,15,京都,第36回マイルチャンピオンS(G1),11R,芝右外1600m ,晴 ,良 ,2019-11-17
0,2:01.0,36.2,1,,2.7,,牝4,56,7,,1,[西]西浦勝一,,"1,856.4",1-1-1-1,大塚亮一,416(-2),クロコスミア,12,戸崎圭太,**,15,札幌,オールスターJ第2戦 ,11R,芝右2000m ,曇 ,良 ,2017-08-26
1,2:01.5,36.4,8,,16.8,,牝4,56,2,3,2,[東]高橋義博,,740.4,3-3-3-2,サラブレッドクラブ・ラフィアン,462(-2),ゲッカコウ,2,マリヨン,**,15,札幌,オールスターJ第2戦 ,11R,芝右2000m ,曇 ,良 ,2017-08-26
2,2:01.6,36.4,10,,33.7,,セ6,58,5,3/4,3,[東]二ノ宮敬,,465.2,4-4-5-4,国本哲秀,466(-10),ショウナンマルシェ,8,ダシルヴ,**,15,札幌,オールスターJ第2戦 ,11R,芝右2000m ,曇 ,良 ,2017-08-26
3,2:01.7,36.4,5,,8.5,,牡6,58,6,1/2,4,[東]奥平雅士,,270.0,8-8-5-4,ウイン,476(0),ウインフェニックス,10,田辺裕信,**,15,札幌,オールスターJ第2戦 ,11R,芝右2000m ,曇 ,良 ,2017-08-26
4,2:01.7,36.8,4,,8.4,,牡4,58,4,クビ,5,[西]森秀行,,182.0,2-2-2-2,中西宏彰,452(-10),ケンホファヴァルト,6,マカヴォ,**,15,札幌,オールスターJ第2戦 ,11R,芝右2000m ,曇 ,良 ,2017-08-26
5,2:01.9,36.8,2,,5.6,,牡3,56,3,1.1/4,6,[東]小桧山悟,,,5-5-3-4,柴原榮,484(+14),エトルディーニュ,3,ルメール,**,15,札幌,オールスターJ第2戦 ,11R,芝右2000m ,曇 ,良 ,2017-08-26
6,2:02.1,36.5,11,,39.7,,牝6,56,6,1.1/4,7,[東]石栗龍彦,,,8-10-8-7,江川伸夫,502(-8),ハツガツオ,9,福永祐一,**,15,札幌,オールスターJ第2戦 ,11R,芝右2000m ,曇 ,良 ,2017-08-26
7,2:02.3,36.7,6,,11.3,,牡6,58,5,1,8,[東]的場均,,,11-11-8-7,里見治,460(-6),サトノスティング,7,クウィリ,**,15,札幌,オールスターJ第2戦 ,11R,芝右2000m ,曇 ,良 ,2017-08-26
8,2:02.4,36.9,7,,15.1,,牡6,58,3,3/4,9,[西]谷潔,,,8-8-8-9,岡浩二,470(-8),メイクアップ,4,モレイラ,**,15,札幌,オールスターJ第2戦 ,11R,芝右2000m ,曇 ,良 ,2017-08-26
9,2:02.5,36.6,13,,80.3,,牡8,58,8,1/2,10,[西]岡田稲男,,,13-12-12-11,Ｈ．Ｈ．シェイク・モハメド,468(+2),ベルニーニ,13,武豊,**,15,札幌,オールスターJ第2戦 ,11R,芝右2000m ,曇 ,良 ,2017-08-26
10,2:02.5,37.2,9,,24.0,,牡7,58,8,アタマ,11,[東]竹内正洋,,,6-7-5-9,冨樫賢二,504(+6),トミケンスラーヴァ,14,中野省吾,**,15,札幌,オールスターJ第2戦 ,11R,芝右2000m ,曇 ,良 ,2017-08-26
11,2:02.9,37.0,14,,106.4,,牡8,58,4,2.1/2,12,[東]勢司和浩,,,12-12-12-11,坪野谷和平,498(+2),ダイヤモンドダンス,5,内田博幸,**,15,札幌,オールスターJ第2戦 ,11R,芝右2000m ,曇 ,良 ,2017-08-26
12,2:02.9,36.7,3,,7.9,,牝6,56,7,ハナ,13,[東]堀井雅広,,,14-14-14-14,浅沼廣幸,486(+2),デルマサリーチャン,11,Ｍ．デム,**,15,札幌,オールスターJ第2戦 ,11R,芝右2000m ,曇 ,良 ,2017-08-26
13,2:04.1,38.6,12,,49.0,,牝5,56,1,7,14,[西]中内田充,,,6-5-8-13,吉田和美,490(-2),レインボーソング,1,クラスト,**,15,札幌,オールスターJ第2戦 ,11R,芝右2000m ,曇 ,良 ,2017-08-26
0,2:26.56,,6,,13.0,, ,57,,,1,,,,,,計不,エグザルタント,4,パートン,,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m , ,良 ,2018-12-09
1,2:26.59,,2,,4.5,, ,55.5,,,2,,,,,,計不,リスグラシュー,10,モレイラ,,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m , ,良 ,2018-12-09
2,2:27.01,,10,,44.1,, ,55.5,,,3,,,,,,計不,エジーラ,12,ルメール,,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m , ,良 ,2018-12-09
3,2:27.13,,9,,17.8,, ,57,,,4,,,,,,計不,イーグルウェイ,6,デソウサ,,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m , ,良 ,2018-12-09
4,2:27.27,,1,,2.6,,牡4,57,,,5,[外]ファーブ,,,,Gestut Ammerland & Newsells Park,計不,ヴァルトガイスト,1,ブドー,,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m , ,良 ,2018-12-09
5,2:27.32,,3,,6.0,, ,57,,,6,,,,,,計不,パキスタンスター,2,ビュイッ,,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m , ,良 ,2018-12-09
6,2:27.68,,12,,203.5,, ,55,,,7,,,,,,計不,ロストロポーヴィチ,14,ローダン,,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m , ,良 ,2018-12-09
7,2:27.74,,11,,121.6,, ,57,,,8,,,,,,計不,プリンスオブアラン,8,ウォーカ,,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m , ,良 ,2018-12-09
8,2:27.75,,5,,11.6,, ,57,,,9,,,,,,計不,サルウィン,3,マーフィ,,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m , ,良 ,2018-12-09
9,2:27.95,,8,,14.8,, ,55.5,,,10,,,,,,計不,クロコスミア,11,岩田康誠,,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m , ,良 ,2018-12-09
10,2:28.02,,7,,14.4,, ,55,,,11,,,,,,計不,ラトローブ,13,マクドナ,,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m , ,良 ,2018-12-09
11,2:29.01,,13,,244.9,, ,57,,,12,,,,,,計不,リヴン,9,ボウマン,,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m , ,良 ,2018-12-09
12,2:30.14,,14,,246.4,, ,57,,,13,,,,,,計不,レッドヴァードン,7,ドイル,,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m , ,良 ,2018-12-09
13,2:33.09,,4,,11.1,, ,57,,,14,,,,,,計不,ミラージュダンサー,5,ムーア,,0,4R,香港ヴァーズ(G1),結果/払戻,芝右2400m , ,良 ,2018-12-09
0,2:27.17,,2,,3.0,,牡4,56.5,,,1,[外]アップル,,,,ゴドルフィン,計不,Old Persian,2,ビュイッ,,20,8R,ドバイシーマクラシッ(G1),結果/払戻,芝左2410m ,晴 ,良 ,2019-03-30
1,,,4,,6.2,,牡7,57,,1.1/2,2,[西]友道康夫,,,,佐々木主浩,計不,シュヴァルグラン,1,ボウマン,,20,8R,ドバイシーマクラシッ(G1),結果/払戻,芝左2410m ,晴 ,良 ,2019-03-30
2,,,3,,5.1,,牡5,57,,1/2,3,[西]庄野靖志,,,,ＮＩＣＫＳ,計不,スワーヴリチャード,7,モレイラ,,20,8R,ドバイシーマクラシッ(G1),結果/払戻,芝左2410m ,晴 ,良 ,2019-03-30
3,,,8,,159.8,,牡4,56.5,,9,4,[外]オブライ,,,,Mrs John Magnier & Michael Tabor & Derrick Smith,計不,ハンティングホーン,5,ローダン,,20,8R,ドバイシーマクラシッ(G1),結果/払戻,芝左2410m ,晴 ,良 ,2019-03-30
4,,,5,,6.8,,牝4,54.5,,ハナ,5,[外]オブライ,,,,Ｍ．テイバーＤ．スミス＆Ｊ．マグニア夫人,計不,Magic Wand,3,ムーア,,20,8R,ドバイシーマクラシッ(G1),結果/払戻,芝左2410m ,晴 ,良 ,2019-03-30
5,,,1,,2.9,,牡5,57,,2.1/2,6,[東]藤沢和雄,,,,キャロットファーム,計不,レイデオロ,6,ルメール,,20,8R,ドバイシーマクラシッ(G1),結果/払戻,芝左2410m ,晴 ,良 ,2019-03-30
6,,,6,,19.1,,牡7,57,,1.3/4,7,[外]ビン・ス,,,,ゴドルフィン,計不,Racing History,4,スミヨン,,20,8R,ドバイシーマクラシッ(G1),結果/払戻,芝左2410m ,晴 ,良 ,2019-03-30
7,,,7,,58.4,,セ7,57,,2.1/2,8,[外]シムコッ,,,,Abdulla Al Mansoori,計不,デザートエンカウンター,8,クローリ,,20,8R,ドバイシーマクラシッ(G1),結果/払戻,芝左2410m ,晴 ,良 ,2019-03-30
0,2:00.1,34.9,3,,4.7,,牡4,57,1,,1,[東]大竹正博,,"7,099.4",9-9-8-6,シルクレーシング,536(-2),ブラストワンピース,1,川田将雅,**,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,晴 ,良 ,2019-08-18
1,2:00.1,35.6,4,,7.8,,牡5,57,6,クビ,2,[西]浅見秀一,,"2,828.4",3-3-4-2,Ｇ１レーシング,486(0),サングレーザー,10,岩田康誠,**,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,晴 ,良 ,2019-08-18
2,2:00.3,34.9,1,,2.3,,牡4,57,6,1,3,[東]手塚貴久,,"1,814.2",9-9-10-9,サンデーレーシング,480(0),フィエールマン,9,ルメール,**,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,晴 ,良 ,2019-08-18
3,2:00.3,35.9,2,,3.7,,牡4,57,7,クビ,4,[西]友道康夫,,"1,100.0",4-4-3-2,金子真人ホールディングス,472(+4),ワグネリアン,12,福永祐一,**,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,晴 ,良 ,2019-08-18
4,2:00.4,35.4,5,,17.7,,牡5,57,7,1/2,5,[西]池江泰寿,,700.0,8-7-7-5,Ｇ１レーシング,490(-4),ペルシアンナイト,11,Ｍ．デム,**,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,晴 ,良 ,2019-08-18
5,2:00.7,36.7,11,,164.6,,牝6,55,5,2,6,[西]上村洋行,,,1-1-1-1,栄進堂,504(-2),エイシンティンクル,7,勝浦正樹,**,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,晴 ,良 ,2019-08-18
6,2:00.8,36.5,6,,18.5,,牝6,55,8,クビ,7,[西]西浦勝一,,,2-2-2-2,大塚亮一,444(+4),クロコスミア,14,戸崎圭太,**,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,晴 ,良 ,2019-08-18
7,2:01.0,35.5,9,,44.5,,牡7,57,2,1.1/4,8,[西]高野友和,,,12-12-10-9,キャロットファーム,538(0),クルーガー,2,丸山元気,**,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,晴 ,良 ,2019-08-18
8,2:01.0,36.4,8,,32.9,,牡4,57,3,ハナ,9,[西]矢作芳人,,,6-5-4-6,社台レースホース,456(+2),ステイフーリッシュ,3,中谷雄太,**,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,晴 ,良 ,2019-08-18
9,2:01.0,35.3,10,,129.6,,牡4,57,5,クビ,10,[東]藤沢和雄,,,12-12-12-13,山本英俊,488(-12),ゴーフォザサミット,8,石橋脩,**,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,晴 ,良 ,2019-08-18
10,2:01.1,36.3,13,,214.4,,牡6,57,4,クビ,11,[西]昆貢,,,5-5-6-6,ロードホースクラブ,496(+2),ロードヴァンドール,5,横山武史,**,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,晴 ,良 ,2019-08-18
11,2:01.4,35.7,14,,244.0,,牡6,57,3,1.3/4,12,[西]池添兼雄,,,12-14-12-12,市川義美ホールディングス,454(-2),ナイトオブナイツ,4,池添謙一,**,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,晴 ,良 ,2019-08-18
12,2:02.7,37.5,12,,172.2,,牡8,57,8,8,13,[東]金成貴史,,,6-7-8-11,さくらコマース,480(-6),サクラアンプルール,13,横山典弘,**,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,晴 ,良 ,2019-08-18
13,2:03.0,37.3,7,,28.5,,牡3,54,4,1.3/4,14,[東]藤沢和雄,,,9-11-12-14,窪田芳郎,494(+2),ランフォザローゼス,6,藤岡佑介,**,15,札幌,第55回札幌記念(G2),11R,芝右2000m ,晴 ,良 ,2019-08-18
0,1:45.5,33.7,5,,7.0,,牡5,57,1,,1,[東]畠山吉宏,,"6,279.8",4-4-4-4,ウイン,492(+2),ウインブライト,1,松岡正海,**,15,中山,第93回中山記念(G2),11R,芝右1800m ,晴 ,良 ,2019-02-24
1,1:45.5,34.9,6,,8.6,,牝4,53,3,クビ,2,[西]松永幹夫,,"2,522.8",2-2-2-2,サンデーレーシング,512(+2),ラッキーライラック,3,石橋脩,**,15,中山,第93回中山記念(G2),11R,芝右1800m ,晴 ,良 ,2019-02-24
2,1:45.5,33.5,2,,4.6,,牡4,57,6,アタマ,3,[東]木村哲也,,"1,611.4",5-5-6-6,サンデーレーシング,490(+12),ステルヴィオ,7,丸山元気,**,15,中山,第93回中山記念(G2),11R,芝右1800m ,晴 ,良 ,2019-02-24
3,1:45.7,33.8,4,,5.6,,牡5,58,8,1.1/4,4,[西]庄野靖志,,930.0,6-6-5-4,ＮＩＣＫＳ,524(+14),スワーヴリチャード,10,Ｍ．デム,**,15,中山,第93回中山記念(G2),11R,芝右1800m ,晴 ,良 ,2019-02-24
4,1:45.7,34.2,3,,5.3,,牡4,57,7,アタマ,5,[西]藤原英昭,,620.0,3-3-3-3,ヒダカ・ブリーダーズ・ユニオン,496(+6),エポカドーロ,9,戸崎圭太,**,15,中山,第93回中山記念(G2),11R,芝右1800m ,晴 ,良 ,2019-02-24
5,1:46.1,33.8,1,,2.6,,牝5,54,5,2,6,[西]橋田満,,,8-7-7-7,森田藤治,504(+5),ディアドラ,5,ルメール,**,15,中山,第93回中山記念(G2),11R,芝右1800m ,晴 ,良 ,2019-02-24
6,1:46.3,36.4,7,,51.1,,牡7,56,2,1.1/2,7,[東]堀井雅広,,,1-1-1-1,藤田在子,534(-2),マルターズアポジー,2,武士沢友,**,15,中山,第93回中山記念(G2),11R,芝右1800m ,晴 ,良 ,2019-02-24
7,1:46.4,33.9,8,,85.8,,牡4,55,7,クビ,8,[地]田中淳司,,,9-9-9-9,会田裕一,464(+4),ハッピーグリン,8,ミナリク,**,15,中山,第93回中山記念(G2),11R,芝右1800m ,晴 ,良 ,2019-02-24
8,1:46.4,33.5,9,,245.3,,牡7,56,8,クビ,9,[東]鹿戸雄一,,,10-10-10-10,サラブレッドクラブ・ラフィアン,508(-12),マイネルサージュ,11,津村明秀,**,15,中山,第93回中山記念(G2),11R,芝右1800m ,晴 ,良 ,2019-02-24
9,1:48.5,36.3,10,,480.8,,牡10,56,4,大,10,[東]堀井雅広,,,7-7-7-7,藤田在子,506(+2),シベリアンスパーブ,4,田中勝春,**,15,中山,第93回中山記念(G2),11R,芝右1800m ,晴 ,良 ,2019-02-24
10,1:49.8,35.9,11,,516.2,,牡9,56,6,8,11,[東]尾関知人,,,11-11-11-11,ミルファーム,460(-4),トルークマクト,6,大野拓弥,**,15,中山,第93回中山記念(G2),11R,芝右1800m ,晴 ,良 ,2019-02-24
0,1:36.3,34.9,1,,2.8,,牝2,54,4,,1,[西]藤岡健一,,"1,025.2",3-4,サンデーレーシング,498(-4),リリーノーブル,4,川田将雅,**,14,京都,白菊賞 ,9R,芝右1600m ,曇 ,良 ,2017-11-26
1,1:36.5,34.8,6,,10.0,,牝2,54,3,1,2,[西]高橋亮,,407.2,6-6,ノースヒルズ,444(+2),スカーレットカラー,3,太宰啓介,**,14,京都,白菊賞 ,9R,芝右1600m ,曇 ,良 ,2017-11-26
2,1:36.7,34.8,3,,5.3,,牝2,54,5,1.1/4,3,[西]橋田満,,253.6,9-9,永井啓弍,422(0),スズカフェラリー,5,シュタル,**,14,京都,白菊賞 ,9R,芝右1600m ,曇 ,良 ,2017-11-26
3,1:36.9,35.2,4,,8.0,,牝2,54,5,1.1/4,4,[西]池江泰寿,,150.0,6-6,サンデーレーシング,410(+2),デルニエオール,6,松山弘平,**,14,京都,白菊賞 ,9R,芝右1600m ,曇 ,良 ,2017-11-26
4,1:36.9,35.4,10,,184.3,,牝2,54,6,ハナ,5,[西]本田優,,100.0,5-4,宮川秋信,476(-4),バトルガラクシア,7,和田竜二,**,14,京都,白菊賞 ,9R,芝右1600m ,曇 ,良 ,2017-11-26
5,1:37.0,35.7,8,,35.7,,牝2,54,7,1/2,6,[西]清水久詞,,,2-2,石川達絵,438(0),ハイヒール,10,藤岡康太,**,14,京都,白菊賞 ,9R,芝右1600m ,曇 ,良 ,2017-11-26
6,1:37.0,35.2,2,,4.4,,牝2,54,7,アタマ,7,[西]石坂正,,,8-8,東京ホースレーシング,442(-4),レッドランディーニ,9,浜中俊,**,14,京都,白菊賞 ,9R,芝右1600m ,曇 ,良 ,2017-11-26
7,1:37.2,35.2,7,,31.9,,牝2,54,1,1.1/4,8,[東]本間忍,,,10-11,高瀬真尚,452(0),ハトホル,1,吉田隼人,**,14,京都,白菊賞 ,9R,芝右1600m ,曇 ,良 ,2017-11-26
8,1:37.2,36.0,5,,8.9,,牝2,54,6,クビ,9,[西]沖芳夫,,,1-1,樋口稔,484(-6),アリア,8,石橋脩,**,14,京都,白菊賞 ,9R,芝右1600m ,曇 ,良 ,2017-11-26
9,1:37.3,35.9,9,,49.6,,牝2,54,8,3/4,10,[西]中村均,,,3-2,八木良司,440(-2),タガノカレン,12,幸英明,**,14,京都,白菊賞 ,9R,芝右1600m ,曇 ,良 ,2017-11-26
10,1:38.4,36.5,11,,512.1,,牝2,54,2,7,11,[地]金田一昌,,,10-9,村山哲生,432(-10),ロンプフェイス,2,吉原寛人,**,14,京都,白菊賞 ,9R,芝右1600m ,曇 ,良 ,2017-11-26
11,1:39.7,37.0,12,,619.8,,牝2,54,8,8,12,[西]田所秀孝,,,12-12,小林祐介,432(-8),コパノルーリー,11,古川吉洋,**,14,京都,白菊賞 ,9R,芝右1600m ,曇 ,良 ,2017-11-26
0,1:59.7,34.6,3,,5.7,,牝3,54,8,,1,[東]藤沢和雄,,"5,328.8",8-8-8,サンデーレーシング,464(+2),チェッキーノ,18,ルメール,**,15,東京,第51回サンスポ賞フローラS(G2),11R,芝左2000m ,曇 ,良 ,2016-04-24
1,2:00.2,35.3,2,,5.3,,牝3,54,6,3,2,[西]中内田充,,"2,136.8",5-7-7,Ｈ．Ｈ．シェイク・ファハド,502(-14),パールコード,11,川田将雅,**,15,東京,第51回サンスポ賞フローラS(G2),11R,芝左2000m ,曇 ,良 ,2016-04-24
2,2:00.3,35.3,13,,63.4,,牝3,54,3,1/2,3,[東]斎藤誠,,"1,318.4",8-8-8,キャロットファーム,452(-2),アウェイク,6,吉田豊,**,15,東京,第51回サンスポ賞フローラS(G2),11R,芝左2000m ,曇 ,良 ,2016-04-24
3,2:00.3,36.0,4,,6.5,,牝3,54,5,アタマ,4,[東]国枝栄,,780.0,5-5-4,長妻和男,450(+6),フロンテアクイーン,9,蛯名正義,**,15,東京,第51回サンスポ賞フローラS(G2),11R,芝左2000m ,曇 ,良 ,2016-04-24
