,タイム,上り,人気,備考,単勝,厩舎ｺﾒﾝﾄ,性齢,斤量,枠番,着差,着順,調教師,調教ﾀｲﾑ,賞金(万円),通過,馬主,馬体重,馬名,馬番,騎手,ﾀｲﾑ指数,場所,レース名,コース,天候,地面,発走
12,1:46.1,38.9,2,,5.6,,牝4,54,6,3/4,13,[西]中内田充,,,3-3-2-3,ロードホースクラブ,486(-8),デュアラブル,11,横山武史,**,小倉,響灘特別 ,ダ右1700m ,曇 ,重 ,15
13,1:46.2,37.0,13,,132.7,,牝6,55,6,3/4,14,[東]伊藤大士,,,16-16-16-16,清水敏,448(-4),ツヅク,12,杉原誠人,**,小倉,響灘特別 ,ダ右1700m ,曇 ,重 ,15
14,1:46.4,38.0,14,,143.5,,牝5,55,4,1.1/2,15,[東]石毛善彦,,,6-7-10-11,ノルマンディーサラブレッドレーシング,462(-8),ミラビリア,7,柴田大知,**,小倉,響灘特別 ,ダ右1700m ,曇 ,重 ,15
15,1:46.8,38.0,12,,105.6,,牝5,55,5,2.1/2,16,[東]奥平雅士,,,14-14-14-14,山本武司,480(-6),ルーモス,9,黛弘人,**,小倉,響灘特別 ,ダ右1700m ,曇 ,重 ,15
0,1:49.5,35.0,2,,4.3,,牝4,54,3,,1,[西]今野貞一,,"1,103.4",8-8-9-8,萩英男,458(-8),ナリス,3,藤岡康太,**,小倉,脊振山特別 ,芝右1800m ,曇 ,稍重 ,16
1,1:49.7,36.0,8,,22.2,,牡6,57,6,1.1/4,2,[西]上村洋行,,432.4,1-1-1-1,キャロットファーム,544(+18),パルフェクォーツ,8,荻野極,**,小倉,脊振山特別 ,芝右1800m ,曇 ,稍重 ,16
2,1:49.7,35.3,3,,5.4,,牡4,56,5,アタマ,3,[西]宮徹,,276.2,11-12-7-4,サラブレッドクラブ・ラフィアン,466(0),マイネルウィルトス,7,丹内祐次,**,小倉,脊振山特別 ,芝右1800m ,曇 ,稍重 ,16
3,1:49.9,36.1,6,,13.6,,牡4,56,7,1,4,[西]川村禎彦,,160.0,2-2-2-2,巴山尊文,444(-4),アーデントリー,10,吉田隼人,**,小倉,脊振山特別 ,芝右1800m ,曇 ,稍重 ,16
4,1:50.0,35.9,1,,3.1,,牡4,56,8,1/2,5,[西]高橋義忠,,106.0,5-5-4-4,栗本守,444(+2),クリノオウジャ,12,鮫島克駿,**,小倉,脊振山特別 ,芝右1800m ,曇 ,稍重 ,16
5,1:50.0,36.2,9,,27.9,,牡5,57,8,アタマ,6,[西]鮫島一歩,,,3-3-2-3,Ｇ１レーシング,476(-8),デクレアラー,13,柴山雄一,**,小倉,脊振山特別 ,芝右1800m ,曇 ,稍重 ,16
6,1:50.0,36.0,4,,7.8,,牡4,56,1,クビ,7,[西]池江泰寿,,,3-3-4-4,ゴドルフィン,478(+4),スティーン,1,横山武史,**,小倉,脊振山特別 ,芝右1800m ,曇 ,稍重 ,16
7,1:50.2,35.3,10,,28.2,,牝5,55,5,1,8,[東]青木孝文,,,13-13-11-11,石川秀守,450(-8),ファストライフ,6,西村淳也,**,小倉,脊振山特別 ,芝右1800m ,曇 ,稍重 ,16
8,1:50.7,35.8,12,,66.3,,牡5,57,4,3,9,[東]石毛善彦,,,11-10-11-13,ライオンレースホース,442(+14),ソルフェージュ,4,黛弘人,**,小倉,脊振山特別 ,芝右1800m ,曇 ,稍重 ,16
9,1:50.7,36.1,7,,17.9,,牡4,56,7,ハナ,10,[東]宗像義忠,,,8-9-10-10,薗部博之,460(-4),ヤップヤップヤップ,11,丸田恭介,**,小倉,脊振山特別 ,芝右1800m ,曇 ,稍重 ,16
10,1:50.8,35.9,13,,73.9,,牡5,57,4,3/4,11,[東]高市圭二,,,10-10-11-12,グリーンスウォード,450(-8),ソイルトゥザソウル,5,山田敬士,**,小倉,脊振山特別 ,芝右1800m ,曇 ,稍重 ,16
11,1:50.9,36.9,11,,51.6,,牡6,57,2,1/2,12,[東]杉浦宏昭,,,6-6-4-4,中村徳也,460(+8),ナンヨーマーズ,2,勝浦正樹,**,小倉,脊振山特別 ,芝右1800m ,曇 ,稍重 ,16
12,1:51.2,36.8,5,,9.8,,牡5,57,6,2,13,[東]斎藤誠,,,7-6-7-8,大野富生,520(-2),ギャンブラー,9,斎藤新,**,小倉,脊振山特別 ,芝右1800m ,曇 ,稍重 ,16
